"","Taxon2","Taxon1","Realm","Plots","Datasets","modelName"
"6","Araneae","Coleoptera","Terrestrial",133,9,"Cole_Aran_T"
"10","Araneae","Diptera","Terrestrial",110,8,"Dipt_Aran_T"
"18","Araneae","Hemiptera","Terrestrial",122,6,"Hemi_Aran_T"
"20","Araneae","Hymenoptera","Terrestrial",124,7,"Hyme_Aran_T"
"46","Araneae","Thysanoptera","Terrestrial",41,5,"Thys_Aran_T"
"113","Coleoptera","Diptera","Freshwater",838,14,"Dipt_Cole_F"
"114","Coleoptera","Diptera","Terrestrial",110,9,"Dipt_Cole_T"
"119","Coleoptera","Ephemeroptera","Freshwater",778,14,"Ephe_Cole_F"
"121","Coleoptera","Hemiptera","Freshwater",206,8,"Hemi_Cole_F"
"122","Coleoptera","Hemiptera","Terrestrial",125,9,"Hemi_Cole_T"
"124","Coleoptera","Hymenoptera","Terrestrial",125,8,"Hyme_Cole_T"
"126","Coleoptera","Lepidoptera","Terrestrial",92,8,"Lepi_Cole_T"
"129","Coleoptera","Megaloptera","Freshwater",219,6,"Mega_Cole_F"
"133","Coleoptera","Odonata","Freshwater",256,10,"Odon_Cole_F"
"141","Coleoptera","Plecoptera","Freshwater",472,7,"Plec_Cole_F"
"150","Coleoptera","Thysanoptera","Terrestrial",40,5,"Thys_Cole_T"
"151","Coleoptera","Trichoptera","Freshwater",762,14,"Tric_Cole_F"
"153","Coleoptera","Trombidiformes","Freshwater",610,7,"Trom_Cole_F"
"223","Diptera","Ephemeroptera","Freshwater",904,21,"Ephe_Dipt_F"
"225","Diptera","Hemiptera","Freshwater",215,8,"Hemi_Dipt_F"
"226","Diptera","Hemiptera","Terrestrial",104,7,"Hemi_Dipt_T"
"228","Diptera","Hymenoptera","Terrestrial",105,8,"Hyme_Dipt_T"
"230","Diptera","Lepidoptera","Terrestrial",89,6,"Lepi_Dipt_T"
"233","Diptera","Megaloptera","Freshwater",250,6,"Mega_Dipt_F"
"237","Diptera","Odonata","Freshwater",282,11,"Odon_Dipt_F"
"245","Diptera","Plecoptera","Freshwater",498,7,"Plec_Dipt_F"
"254","Diptera","Thysanoptera","Terrestrial",41,5,"Thys_Dipt_T"
"255","Diptera","Trichoptera","Freshwater",889,20,"Tric_Dipt_F"
"257","Diptera","Trombidiformes","Freshwater",721,7,"Trom_Dipt_F"
"381","Ephemeroptera","Hemiptera","Freshwater",161,8,"Hemi_Ephe_F"
"389","Ephemeroptera","Megaloptera","Freshwater",238,6,"Mega_Ephe_F"
"393","Ephemeroptera","Odonata","Freshwater",261,11,"Odon_Ephe_F"
"401","Ephemeroptera","Plecoptera","Freshwater",495,8,"Plec_Ephe_F"
"411","Ephemeroptera","Trichoptera","Freshwater",854,21,"Tric_Ephe_F"
"413","Ephemeroptera","Trombidiformes","Freshwater",642,7,"Trom_Ephe_F"
"436","Hemiptera","Hymenoptera","Terrestrial",119,6,"Hyme_Hemi_T"
"438","Hemiptera","Lepidoptera","Terrestrial",92,7,"Lepi_Hemi_T"
"441","Hemiptera","Megaloptera","Freshwater",86,5,"Mega_Hemi_F"
"445","Hemiptera","Odonata","Freshwater",118,7,"Odon_Hemi_F"
"450","Hemiptera","Orthoptera","Terrestrial",92,5,"Orth_Hemi_T"
"463","Hemiptera","Trichoptera","Freshwater",144,8,"Tric_Hemi_F"
"465","Hemiptera","Trombidiformes","Freshwater",157,5,"Trom_Hemi_F"
"490","Hymenoptera","Lepidoptera","Terrestrial",90,6,"Lepi_Hyme_T"
"514","Hymenoptera","Thysanoptera","Terrestrial",40,5,"Thys_Hyme_T"
"661","Megaloptera","Plecoptera","Freshwater",107,5,"Plec_Mega_F"
"671","Megaloptera","Trichoptera","Freshwater",240,6,"Tric_Mega_F"
"775","Odonata","Trichoptera","Freshwater",249,11,"Tric_Odon_F"
"777","Odonata","Trombidiformes","Freshwater",192,6,"Trom_Odon_F"
"983","Plecoptera","Trichoptera","Freshwater",502,8,"Tric_Plec_F"
"1245","Trichoptera","Trombidiformes","Freshwater",634,7,"Trom_Tric_F"
